message_text,action_type
Raise a service request for technician visit.,escalation
Forward this to the networking team.,escalation
Schedule a callback for tomorrow.,callback
Kindly update me by Monday.,urgent
Send confirmation after resolving.,escalation
Send confirmation after resolving.,update
Schedule a callback for tomorrow.,confirmation
Forward this to the networking team.,update
Kindly update me by Monday.,confirmation
Kindly update me by Monday.,callback
Please escalate this ticket.,forwarding
Send confirmation after resolving.,forwarding
Schedule a callback for tomorrow.,forwarding
Schedule a callback for tomorrow.,forwarding
Send confirmation after resolving.,forwarding
Forward this to the networking team.,forwarding
Raise a service request for technician visit.,update
Kindly update me by Monday.,urgent
Escalate to senior support.,urgent
Kindly update me by Monday.,callback
Schedule a callback for tomorrow.,forwarding
Raise a service request for technician visit.,urgent
Raise a service request for technician visit.,urgent
Send confirmation after resolving.,escalation
Escalate to senior support.,callback
Flag this as urgent.,callback
Raise a service request for technician visit.,urgent
Kindly update me by Monday.,urgent
Please escalate this ticket.,urgent
Kindly update me by Monday.,forwarding
Please escalate this ticket.,escalation
Send confirmation after resolving.,forwarding
Send confirmation after resolving.,urgent
Schedule a callback for tomorrow.,forwarding
Forward this to the networking team.,escalation
Flag this as urgent.,confirmation
Raise a service request for technician visit.,callback
Schedule a callback for tomorrow.,callback
Please escalate this ticket.,escalation
Escalate to senior support.,forwarding
Forward this to the networking team.,urgent
Kindly update me by Monday.,urgent
Forward this to the networking team.,update
Forward this to the networking team.,confirmation
Schedule a callback for tomorrow.,urgent
Raise a service request for technician visit.,escalation
Send confirmation after resolving.,forwarding
Please escalate this ticket.,callback
Raise a service request for technician visit.,callback
Please escalate this ticket.,confirmation
Send confirmation after resolving.,escalation
Raise a service request for technician visit.,update
Kindly update me by Monday.,confirmation
Kindly update me by Monday.,update
Raise a service request for technician visit.,escalation
Schedule a callback for tomorrow.,update
Flag this as urgent.,callback
Flag this as urgent.,update
Schedule a callback for tomorrow.,urgent
Schedule a callback for tomorrow.,update
Escalate to senior support.,urgent
Flag this as urgent.,callback
Flag this as urgent.,escalation
Raise a service request for technician visit.,escalation
Flag this as urgent.,urgent
Schedule a callback for tomorrow.,forwarding
Send confirmation after resolving.,escalation
Escalate to senior support.,update
Send confirmation after resolving.,forwarding
Schedule a callback for tomorrow.,escalation
Escalate to senior support.,urgent
Schedule a callback for tomorrow.,escalation
Send confirmation after resolving.,callback
Escalate to senior support.,callback
Kindly update me by Monday.,forwarding
Raise a service request for technician visit.,forwarding
Please escalate this ticket.,callback
Kindly update me by Monday.,callback
Forward this to the networking team.,callback
Please escalate this ticket.,callback
Raise a service request for technician visit.,forwarding
Send confirmation after resolving.,urgent
Raise a service request for technician visit.,forwarding
Schedule a callback for tomorrow.,urgent
Please escalate this ticket.,update
Escalate to senior support.,escalation
Escalate to senior support.,urgent
Forward this to the networking team.,urgent
Forward this to the networking team.,update
Forward this to the networking team.,forwarding
Forward this to the networking team.,urgent
Send confirmation after resolving.,update
Send confirmation after resolving.,escalation
Kindly update me by Monday.,confirmation
Send confirmation after resolving.,confirmation
Forward this to the networking team.,forwarding
Send confirmation after resolving.,confirmation
Raise a service request for technician visit.,urgent
Raise a service request for technician visit.,urgent
Send confirmation after resolving.,callback
